,M1,M2,M3,M4,M5
ChrUn.fgenesh.gene.49,0,0,0,0,0
ChrUn.fgenesh.gene.5,0,0,0,0,0
ChrUn.fgenesh.gene.50,0,0,0,0,0
ChrUn.fgenesh.gene.51,0,0,0,0,0
ChrUn.fgenesh.gene.52,0,0,0,0,0
ChrUn.fgenesh.gene.53,0,0,0,0,0
ChrUn.fgenesh.gene.54,0,0,0,0,0
ChrUn.fgenesh.gene.55,0,0,0,0,0
ChrUn.fgenesh.gene.56,0,0,0,0,0
ChrUn.fgenesh.gene.57,0,0,0,0,0
ChrUn.fgenesh.gene.58,0,0,0,0,0
ChrUn.fgenesh.gene.59,0,0,0,0,0
ChrUn.fgenesh.gene.6,0,0,0,0,0
ChrUn.fgenesh.gene.60,0,0,0,0,0
ChrUn.fgenesh.gene.61,0,0,0,0,0
ChrUn.fgenesh.gene.62,0,0,0,0,0
ChrUn.fgenesh.gene.63,0,0,0,0,0
ChrUn.fgenesh.gene.64,0,0,0,0,0
ChrUn.fgenesh.gene.65,0,0,0,0,0
ChrUn.fgenesh.gene.66,0,0,0,0,0
ChrUn.fgenesh.gene.67,0,0,0,0,0
ChrUn.fgenesh.gene.68,0,0,0,0,0
ChrUn.fgenesh.gene.69,0,0,0,0,0
ChrUn.fgenesh.gene.7,0,0,0,0,0
ChrUn.fgenesh.gene.70,0,0,0,0,0
ChrUn.fgenesh.gene.75,0,0,0,0,0
ChrUn.fgenesh.gene.76,0,0,0,0,0
ChrUn.fgenesh.gene.77,0,0,0,0,0
ChrUn.fgenesh.gene.78,0,0,0,0,0
ChrUn.fgenesh.gene.79,0,0,0,0,0
ChrUn.fgenesh.gene.8,0,0,0,0,0
ChrUn.fgenesh.gene.80,0,0,0,0,0
ChrUn.fgenesh.gene.81,0,0,0,0,0
ChrUn.fgenesh.gene.82,0,0,0,0,0
ChrUn.fgenesh.gene.83,0,0,0,0,0
ChrUn.fgenesh.gene.84,0,0,0,0,0
ChrUn.fgenesh.gene.85,0,0,0,0,0
ChrUn.fgenesh.gene.86,0,0,0,0,0
ChrUn.fgenesh.gene.87,0,0,0,0,0
ChrUn.fgenesh.gene.88,0,0,0,0,0
ChrUn.fgenesh.gene.89,0,0,0,0,0
ChrUn.fgenesh.gene.9,0,0,0,0,0
ChrUn.fgenesh.gene.90,0,0,0,0,0
ChrUn.fgenesh.gene.91,0,0,0,0,0
ChrUn.fgenesh.gene.92,0,0,0,0,0
ChrUn.fgenesh.gene.93,0,0,0,0,0
ChrUn.fgenesh.gene.94,0,0,0,0,0
ChrUn.fgenesh.gene.95,0,0,0,0,0
ChrUn.fgenesh.gene.96,32,0,0,0,0
LOC_Os01g01010,7,117,115,3,67
LOC_Os01g01019,0,0,0,0,0
LOC_Os01g01030,0,0,0,0,0
LOC_Os01g01040,265,137,192,45,246
LOC_Os01g01050,131,13,113,18,316
LOC_Os01g01060,178,20,39,3,0
LOC_Os01g01070,71,113,80,6,0
LOC_Os01g01080,148,83,89,224,110
LOC_Os01g01090,0,66,5,26.255,0
LOC_Os01g01100,0,0,0,0,0
LOC_Os01g01110,0,0,0,0,0
LOC_Os01g01115,0,0,0,0,0
LOC_Os01g01120,1320.002,968.834,1095.792,834.857,1220
LOC_Os01g01130,29.998,48.166,118.208,29.143,22
LOC_Os01g01140,0,0,0,0,0
LOC_Os01g01150,512,543,145,230,1223
LOC_Os01g01160,1239,993,959,1432,1527
LOC_Os01g01170,6,0,31,38,103
LOC_Os01g01180,0,0,0,0,0
LOC_Os01g01190,0,0,17,0,0
LOC_Os01g01200,0,0,0,0,0
LOC_Os01g01210,0,0,0,0,0
LOC_Os01g01230,0,0,0,0,0
LOC_Os01g01240,0,0,0,0,0
LOC_Os01g01250,0,0,0,0,0
LOC_Os01g01260,0,0,0,0,0
LOC_Os01g01270,0,0,0,0,0
LOC_Os01g01280,357,400,542,507,683
LOC_Os01g01290,0,0,0,0,0
LOC_Os01g01295,1,24,47,10,286
LOC_Os01g01302,524,537,436,716,1152
LOC_Os01g01307,297,173,59,68,226
LOC_Os01g01312,10,8,0,1,0
LOC_Os01g01320,0,0,0,0,0
LOC_Os01g01330,0,0,0,0,0
LOC_Os01g01340,2921.83,1646,1799,3072,3375
LOC_Os01g01350,0,0,0,1,0
LOC_Os01g01360,0,0,0,0,0
LOC_Os01g01369,69,23,60,0,0
LOC_Os01g01380,0,29.005,44,0,107.85
LOC_Os01g01390,75,67,66,96,71
LOC_Os01g01400,0,0,0,0,0
LOC_Os01g01410,236,43,119,2,1
LOC_Os01g01420,1130.945,902.6,583.503,678.304,1398.319
LOC_Os01g01430,0,0,0,0,0
LOC_Os01g01440,0,0,0,0,0
LOC_Os01g01450,887,695,605,889,672
LOC_Os01g01460,0,0,0,0,0
LOC_Os01g01470,0,0,0,0,0
LOC_Os01g01484,621,454,273,671,673
LOC_Os01g01500,0,0,0,0,0
LOC_Os01g01510,0,30,1,4,101
LOC_Os01g01520,1,0,0,0,0
LOC_Os01g01530,0,0,0,0,0
LOC_Os01g01540,0,0,0,0,0
LOC_Os01g01550,0,0,0,0,0
LOC_Os01g01560,0,0,0,0,0
LOC_Os01g01570,0,42,59,15,0
LOC_Os01g01580,0,0,0,0,0
LOC_Os01g01590,0,0,0,0,0
LOC_Os01g01600,0,0,0,0,0
LOC_Os01g01610,26,4,55,0,51
LOC_Os01g01620,220,8,88,47,138
LOC_Os01g01640,3,111,66,214,224
LOC_Os01g01650,0,0,0,0,0
LOC_Os01g01660,3,0,43,1,0
LOC_Os01g01670,59,0,14,96,95
LOC_Os01g01680,1,0,1,4,1
LOC_Os01g01689,98,0,57,0,51
LOC_Os01g01700,628,437,301,369,854
LOC_Os01g01710,3915,2881,2581,2372,5752
LOC_Os01g01720,137,31,55,1,126
LOC_Os01g01730,0,0,0,0,0
LOC_Os01g01740,0,39,0,1,44
LOC_Os01g01760,0,0,0,0,0
LOC_Os01g01770,0,0,0,0,0
LOC_Os01g01780,0,0,0,0,0
LOC_Os01g01790,784,854,464,627,893
LOC_Os01g01800,46,164,101,190,152
LOC_Os01g01810,0,0,0,0,0
LOC_Os01g01830,144,11,0,83,17
LOC_Os01g01840,39,9,23,0,0
LOC_Os01g01850,0,0,0,0,0
LOC_Os01g01860,0,0,0,0,0
LOC_Os01g01870,361,142,242,52,527
LOC_Os01g01880,0,0,0,0,0
LOC_Os01g01890,366,118,103,112,79
LOC_Os01g01900,0,0,0,0,0
LOC_Os01g01910,0,0,0,0,0
LOC_Os01g01920,1,106,50,17,183
LOC_Os01g01925,0,0,0,0,0
LOC_Os01g01930,0,0,0,0,0
LOC_Os01g01940,0,0,0,0,0
LOC_Os01g01950,0,0,0,0,0
LOC_Os01g01960,922,490,329,771,539
LOC_Os01g01970,45,13,23,0,196
LOC_Os01g01980,0,0,0,0,0
LOC_Os01g01990,0,0,0,0,0
LOC_Os01g02000,1,0,0,2,1
LOC_Os01g02010,1,0,0,1,0
LOC_Os01g02020,2,37,30,71,146
LOC_Os01g02040,0,1,2,1,0
LOC_Os01g02050,0,0,0,5,0
LOC_Os01g02060,0,0,0,0,31
LOC_Os01g02070,0,0,0,0,0
LOC_Os01g02080,142,115,30,158,318
LOC_Os01g02090,361,253,71,173,252
LOC_Os01g02100,32,19,16,59,0
LOC_Os01g02110,0,0,0,0,0
LOC_Os01g02120,0,0,0,0,0
LOC_Os01g02130,0,0,0,0,0
LOC_Os01g02139,46,0,7,0,0
LOC_Os01g02150,116,97,136,46,193
LOC_Os01g02160,0,0,0,0,0
LOC_Os01g02170,0,0,8,0,0
LOC_Os01g02180,50,122,43.555,128,220
LOC_Os01g02190,0,0,0,0,0
LOC_Os01g02200,468,252,299,126,542
LOC_Os01g02210,0,0,0,0,0
LOC_Os01g02220,0,0,0,0,0
LOC_Os01g02230,0,0,0,0,0
LOC_Os01g02240,0,0,0,0,0
LOC_Os01g02250,0,0,0,0,0
LOC_Os01g02260,0,0,0,0,0
LOC_Os01g02270,0,65,39,0,0
LOC_Os01g02280,0,0,0,0,0
LOC_Os01g02290,0,0,0,0,0
LOC_Os01g02300,0,0,0,0,0
LOC_Os01g02310,0,0,0,0,9
LOC_Os01g02320,0,50,0,30,0
LOC_Os01g02334,83,0,0,0,0
LOC_Os01g02350,0,0,0,0,0
LOC_Os01g02360,0,0,0,0,0
LOC_Os01g02370,0,0,0,30,0
LOC_Os01g02380,0,0,0,0,0
LOC_Os01g02390,121,55,24,0,17
LOC_Os01g02400,74,0,3,59,88
LOC_Os01g02410,0,0,0,0,0
LOC_Os01g02420,0,0,16,0,0
LOC_Os01g02430,0,0,0,0,0
LOC_Os01g02440,0,0,0,0,0
LOC_Os01g02450,0,0,0,0,0
LOC_Os01g02460,0,0,0,0,0
LOC_Os01g02470,0,0,0,0,0
LOC_Os01g02480,0,0,0,0,0
LOC_Os01g02490,0,0,0,11,88
LOC_Os01g02500,0,0,0,0,0
LOC_Os01g02510,0,0,0,0,0
LOC_Os01g02520,0,0,0,0,0
LOC_Os01g02530,0,0,0,0,0
LOC_Os01g02540,0,0,0,0,0
LOC_Os01g02550,0,0,0,0,0
LOC_Os01g02560,0,0,0,0,0
LOC_Os01g02570,0,0,0,0,0
LOC_Os01g02580,0,0,0,0,0
LOC_Os01g02590,20,0,0,0,0
LOC_Os01g02600,0,0,0,0,0
LOC_Os01g02610,0,0,5,0,0
LOC_Os01g02629,0,0,0,0,0
LOC_Os01g02650,0,0,0,0,0
LOC_Os01g02660,0,0,0,0,0
LOC_Os01g02670,0,0,0,0,0
LOC_Os01g02680,0,0,0,0,0
LOC_Os01g02690,0,0,0,0,0
LOC_Os01g02700,284,94,77,115,430
LOC_Os01g02710,210,188,163,189,46
LOC_Os01g02720,116,126,83,192,75
LOC_Os01g02730,0,19,0,0,18
LOC_Os01g02740,0,0,0,0,0
LOC_Os01g02750,0,15,64,0,0
LOC_Os01g02760,0,0,0,0,0
LOC_Os01g02770,0,0,0,0,0
LOC_Os01g02780,0,0,0,0,0
LOC_Os01g02790,0,0,0,0,0
LOC_Os01g02800,0,0,0,0,0
LOC_Os01g02810,0,0,0,0,0
LOC_Os01g02830,0,0,0,0,0
LOC_Os01g02840,0,0,0,0,0
LOC_Os01g02850,0,0,0,0,0
LOC_Os01g02860,1,0,0,0,0
LOC_Os01g02870,0,26,1,25,0
LOC_Os01g02880,1,48,2,5,1
LOC_Os01g02884,290,264,360,353,476
LOC_Os01g02890,0,0,0,0,0
LOC_Os01g02900,1,0,1,0,0
LOC_Os01g02910,0,0,0,0,0
LOC_Os01g02920,0,0,0,0,0
LOC_Os01g02930,98,0,0,0,1
LOC_Os01g02940,0,4,0,0,0
LOC_Os01g02950,0,0,0,0,0
LOC_Os01g02960,157,123,145,121,228
LOC_Os01g02970,0,0,0,0,0
LOC_Os01g02980,0,0,0,0,0
LOC_Os01g02990,0,0,0,0,0
LOC_Os01g03010,0,0,0,0,0
LOC_Os01g03020,335,187,194,323,214
LOC_Os01g03030,150,41,113,65,0
LOC_Os01g03040,1328,995,1362,1746,2162
LOC_Os01g03050,98,52,41,37,93
LOC_Os01g03060,362,77,49,272,669
LOC_Os01g03070,360,265,276,352,316
LOC_Os01g03080,0,0,0,0,0
LOC_Os01g03090,106,153,104,93,336
LOC_Os01g03100,0,2,0,1,1
LOC_Os01g03110,0,50,0,75,0
LOC_Os01g03130,0,0,34,0,0
LOC_Os01g03144,263,258,171,161,384
LOC_Os01g03160,54,49,35,60,86
LOC_Os01g03170,0,0,0,0,0
LOC_Os01g03180,64,57,147,119,1
LOC_Os01g03190,0,0,0,0,0
LOC_Os01g03200,0,10.046,0,0,87
LOC_Os01g03210,0,0,0,0,0
LOC_Os01g03220,0,0,0,0,0
LOC_Os01g03230,0,0,0,0,0
LOC_Os01g03240,0,0,0,0,0
LOC_Os01g03250,0,0,0,0,0
LOC_Os01g03260,0,0,0,0,0
LOC_Os01g03270,0,0,0,0,0
LOC_Os01g03280,0,0,0,0,0
LOC_Os01g03290,0,0,0,0,0
LOC_Os01g03300,0,0,0,0,0
LOC_Os01g03310,460,196,384,367,1425
LOC_Os01g03320,63,0,0,0,10
LOC_Os01g03330,0,0,0,0,0
LOC_Os01g03340,217,50,154,83,488
LOC_Os01g03350,0,0,0,0,0
LOC_Os01g03360,0,0,0,0,0
LOC_Os01g03370,0,0,0,0,0
LOC_Os01g03380,0,0,0,0,0
LOC_Os01g03390,47,0,0,1,0
LOC_Os01g03400,0,0,0,0,0
LOC_Os01g03410,0,0,0,31,0
LOC_Os01g03420,0,0,0,0,0
LOC_Os01g03429,0,0,0,0,0
LOC_Os01g03440,0,0,0,0,0
LOC_Os01g03452,0,0,0,0,0
LOC_Os01g03464,0,0,0,0,0
LOC_Os01g03480,0,0,0,0,0
LOC_Os01g03490,1,0,0,0,0
LOC_Os01g03500,41,179,111,38,0
LOC_Os01g03510,0,0,0,1,162
LOC_Os01g03520,248,205,271,300,262
LOC_Os01g03530,0,0,0,0,0
LOC_Os01g03549,335,154,167,187,559
LOC_Os01g03570,72,68,50,112,1
LOC_Os01g03580,0,0,0,0,0
LOC_Os01g03590,0,0,0,0,0
LOC_Os01g03600,0,0,0,0,0
LOC_Os01g03610,0,0,0,0,0
LOC_Os01g03620,0,0,0,0,0
LOC_Os01g03630,0,0,0,0,0
LOC_Os01g03640,0,0,0,0,0
LOC_Os01g03650,335,104,195,325,129
LOC_Os01g03660,0,16,0,0,0
LOC_Os01g03670,0,0,0,0,0
LOC_Os01g03680,0,0,0,0,0
LOC_Os01g03690,1,0,0,0,0
LOC_Os01g03710,0,0,0,0,0
LOC_Os01g03720,0,0,0,0,0
LOC_Os01g03730,0,19,0,0,0
LOC_Os01g03740,0,0,0,0,0
LOC_Os01g03750,1,79,22,46,148
LOC_Os01g03760,88,118,69,68,234
LOC_Os01g03770,0,0,0,0,0
LOC_Os01g03780,0,0,0,0,0
LOC_Os01g03790,0,0,0,0,0
LOC_Os01g03800,0,0,0,0,0
LOC_Os01g03810,0,0,0,0,0
LOC_Os01g03820,118,165,72,115,85
LOC_Os01g03830,0,0,0,0,0
LOC_Os01g03840,0,0,0,0,0
LOC_Os01g03860,0,0,0,0,0
LOC_Os01g03870,0,0,0,0,0
LOC_Os01g03880,0,0,0,0,0
LOC_Os01g03890,0,0,0,0,0
LOC_Os01g03900,0,0,0,0,0
LOC_Os01g03914,29,56,31,1,76
LOC_Os01g03930,0,0,0,0,0
LOC_Os01g03940,670,489,277,551,1244
LOC_Os01g03950,8,58,0,34,0
LOC_Os01g03960,0,0,0,0,0
LOC_Os01g03970,0,0,0,0,0
LOC_Os01g03980,0,145,41,66,154
LOC_Os01g03989,0,0,0,0,0
LOC_Os01g04000,0,0,0,0,0
LOC_Os01g04005,0,0,0,0,0
LOC_Os01g04010,9,11,9,13,14
LOC_Os01g04020,1267,480,755,745,1264
LOC_Os01g04030,17,0,17,0,0
LOC_Os01g04040,0,2,0,0,0
LOC_Os01g04050,0,0,2,1,4
LOC_Os01g04070,0,0,0,0,0
LOC_Os01g04080,0,0,0,0,0
LOC_Os01g04090,0,23,0,0,0
LOC_Os01g04100,0,64,14,0,194
LOC_Os01g04110,0,54,34,0,66
LOC_Os01g04120,29,0,0,0,63
LOC_Os01g04130,0,0,0,0,0
LOC_Os01g04140,0,0,0,0,0
LOC_Os01g04150,0,0,0,0,0
LOC_Os01g04160,0,0,0,0,0
LOC_Os01g04170,0,0,0,0,0
LOC_Os01g04180,0,0,0,0,0
LOC_Os01g04190,22,64,0,39,256
LOC_Os01g04200,1,114,29,51,78
LOC_Os01g04210,0,0,0,0,0
LOC_Os01g04220,0,0,0,0,0
LOC_Os01g04230,0,0,0,0,0
LOC_Os01g04250,0,0,0,0,0
LOC_Os01g04260,180,89,79,108,351
LOC_Os01g04270,0,0,0,0,0
LOC_Os01g04280,0,0,0,0,0
LOC_Os01g04290,0,0,0,0,0
LOC_Os01g04300,0,0,0,0,0
LOC_Os01g04310,0,0,0,0,0
LOC_Os01g04320,0,0,0,0,0
LOC_Os01g04324,0,4,0,0,0
LOC_Os01g04330,0,10,1,0,23
LOC_Os01g04340,0,0,0,0,0
LOC_Os01g04350,158,57,48,133,70
LOC_Os01g04360,0,0,0,0,0
LOC_Os01g04370,0,0,0,0,0
LOC_Os01g04380,0,0,0,0,0
LOC_Os01g04390,0,0,0,0,0
LOC_Os01g04409,171,6,13,0,93
LOC_Os01g04430,0,0,0,0,0
LOC_Os01g04440,0,0,0,0,0
LOC_Os01g04450,0,0,0,0,0
LOC_Os01g04460,0,0,0,0,0
LOC_Os01g04470,0,0,0,0,0
LOC_Os01g04480,0,0,0,0,0
LOC_Os01g04490,0,0,0,0,0
LOC_Os01g04500,0,0,0,36,0
LOC_Os01g04510,0,0,0,0,0
LOC_Os01g04520,0,0,0,0,0
LOC_Os01g04530,0,0,0,0,0
LOC_Os01g04540,92.927,198.404,194.134,191.267,547.063
LOC_Os01g04550,0,0,0,0,0
LOC_Os01g04560,0,0,0,0,0
LOC_Os01g04570,0,0,0,0,0
LOC_Os01g04580,0,0,0,0,0
LOC_Os01g04590,0,0,0,0,0
LOC_Os01g04600,0,35,11,19,50
LOC_Os01g04610,0,0,0,0,0
LOC_Os01g04620,0,0,0,0,0
LOC_Os01g04630,680,312,525,478,924
LOC_Os01g04640,1,0,0,1,0
LOC_Os01g04650,4,223,104,95,52
LOC_Os01g04660,0,0,0,0,0
LOC_Os01g04670,0,0,0,1,0
LOC_Os01g04680,0,0,0,0,0
LOC_Os01g04690,0,0,0,0,0
LOC_Os01g04699,0,0,0,0,0
LOC_Os01g04710,0,0,17,0,0
LOC_Os01g04720,1,0,0,0,0
LOC_Os01g04730,0,0,0,0,0
LOC_Os01g04740,0,0,0,0,0
LOC_Os01g04750,0,0,0,0,0
LOC_Os01g04760,0,0,0,0,0
LOC_Os01g04770,0,0,0,0,0
LOC_Os01g04780,0,0,0,0,0
LOC_Os01g04790,0,0,0,0,0
LOC_Os01g04800,0,21,0,0,0
LOC_Os01g04814,406,240,128,381,163
LOC_Os01g04830,0,0,0,0,0
LOC_Os01g04840,0,0,0,0,0
LOC_Os01g04850,0,0,0,0,0
LOC_Os01g04860,290,169,118,126,267
LOC_Os01g04870,0,58,28,33,72
LOC_Os01g04880,0,38.076,0,0,17
LOC_Os01g04900,473,455.924,966,207,802
LOC_Os01g04910,127,0,23,0,1
LOC_Os01g04920,471,236,191,281,676
LOC_Os01g04930,221,89,108,41,146
LOC_Os01g04950,198,149,236,32,400
LOC_Os01g04960,0,0,0,0,0
LOC_Os01g04970,0,0,0,0,0
LOC_Os01g04980,0,0,0,0,0
LOC_Os01g04990,138,0,8,24,127
LOC_Os01g05000,0,0,0,0,0
LOC_Os01g05010,0,0,38,0,51
LOC_Os01g05020,0,0,0,0,0
LOC_Os01g05030,0,0,0,0,0
LOC_Os01g05040,0,0,0,0,0
LOC_Os01g05050,0,0,0,0,0
LOC_Os01g05060,65,0,0,0,0
LOC_Os01g05064,0,20,12,0,0
LOC_Os01g05070,16,0,0,69,112
LOC_Os01g05080,0,45,2,63,0
LOC_Os01g05090,323.743,73,6,131.96,254.02
LOC_Os01g05100,0,0,0,0,0
LOC_Os01g05105,0,0,0,0,0
LOC_Os01g05120,0,0,0,0,0
LOC_Os01g05130,241,21,54,88,203
LOC_Os01g05140,1,70,16,0,0
LOC_Os01g05150,1,0,1,0,1
LOC_Os01g05160,0,0,0,0,0
LOC_Os01g05170,0,0,0,0,0
LOC_Os01g05180,0,0,0,0,0
LOC_Os01g05200,0,0,0,0,0
LOC_Os01g05210,0,0,0,0,0
LOC_Os01g05220,0,0,0,0,0
LOC_Os01g05240,0,0,0,0,0
LOC_Os01g05250,0,0,0,0,0
LOC_Os01g05260,0,0,0,0,0
LOC_Os01g05280,0,0,0,0,0
LOC_Os01g05289,0,0,0,0,0
LOC_Os01g05300,0,0,0,0,0
LOC_Os01g05310,0,0,0,0,0
LOC_Os01g05320,0,0,0,0,0
LOC_Os01g05330,0,0,0,0,0
LOC_Os01g05340,0,0,0,0,0
LOC_Os01g05350,0,0,0,0,0
LOC_Os01g05360,0,0,0,0,0
LOC_Os01g05370,0,0,0,0,0
LOC_Os01g05380,0,0,1,0,0
LOC_Os01g05390,0,0,0,0,0
LOC_Os01g05400,0,0,0,0,0
LOC_Os01g05410,0,0,0,0,0
LOC_Os01g05420,1089,598,262,462,581
LOC_Os01g05430,255,5,11,35,50
LOC_Os01g05440,0,0,0,0,0
LOC_Os01g05450,0,0,0,0,0
LOC_Os01g05460,0,0,0,0,0
LOC_Os01g05470,2,77,52,1,0
LOC_Os01g05480,0,0,0,0,0
LOC_Os01g05490,3880,2441,2072,2549,5134
LOC_Os01g05500,462,342,410,326,713
LOC_Os01g05510,0,0,0,0,0
