,V1,V2,V3,V4
ChrUn.fgenesh.gene.52,0,0,0,0
ChrUn.fgenesh.gene.53,0,0,0,0
ChrUn.fgenesh.gene.54,0,0,0,0
ChrUn.fgenesh.gene.55,0,0,0,0
ChrUn.fgenesh.gene.56,0,0,0,0
ChrUn.fgenesh.gene.57,0,0,0,0
ChrUn.fgenesh.gene.58,0,0,0,0
ChrUn.fgenesh.gene.59,0,0,0,0
ChrUn.fgenesh.gene.6,0,0,0,0
ChrUn.fgenesh.gene.60,0,0,0,0
ChrUn.fgenesh.gene.61,0,0,0,0
ChrUn.fgenesh.gene.62,0,0,0,0
ChrUn.fgenesh.gene.63,0,0,0,0
ChrUn.fgenesh.gene.64,0,0,0,0
ChrUn.fgenesh.gene.65,0,0,0,0
ChrUn.fgenesh.gene.66,0,0,0,0
ChrUn.fgenesh.gene.67,0,0,0,0
ChrUn.fgenesh.gene.68,0,0,2,0
ChrUn.fgenesh.gene.69,0,0,0,0
ChrUn.fgenesh.gene.7,0,0,0,0
ChrUn.fgenesh.gene.70,0,0,0,0
ChrUn.fgenesh.gene.75,0,0,0,0
ChrUn.fgenesh.gene.76,0,0,0,0
ChrUn.fgenesh.gene.77,0,0,0,0
ChrUn.fgenesh.gene.78,0,0,0,0
ChrUn.fgenesh.gene.79,0,0,0,0
ChrUn.fgenesh.gene.8,0,0,0,0
ChrUn.fgenesh.gene.80,0,0,0,0
ChrUn.fgenesh.gene.81,0,0,0,0
ChrUn.fgenesh.gene.82,0,0,0,0
ChrUn.fgenesh.gene.83,2,0,0,0
ChrUn.fgenesh.gene.84,0,0,0,0
ChrUn.fgenesh.gene.85,0,0,0,0
ChrUn.fgenesh.gene.86,0,0,0,0
ChrUn.fgenesh.gene.87,0,0,0,0
ChrUn.fgenesh.gene.88,0,0,0,0
ChrUn.fgenesh.gene.89,0,0,0,0
ChrUn.fgenesh.gene.9,0,0,0,0
ChrUn.fgenesh.gene.90,0,0,0,0
ChrUn.fgenesh.gene.91,0,0,0,0
ChrUn.fgenesh.gene.92,0,0,0,0
ChrUn.fgenesh.gene.93,0,0,0,0
ChrUn.fgenesh.gene.94,0,0,0,0
ChrUn.fgenesh.gene.95,0,0,0,0
ChrUn.fgenesh.gene.96,0,0,0,2
LOC_Os01g01010,200,140,197,163
LOC_Os01g01019,0,7,0,0
LOC_Os01g01030,84,19,101,155
LOC_Os01g01040,677,813,899,815
LOC_Os01g01050,118,60,116,2
LOC_Os01g01060,437,464,375,614
LOC_Os01g01070,241,123,87,203
LOC_Os01g01080,320,275,274,382
LOC_Os01g01090,0,10,0,14
LOC_Os01g01100,0,0,0,0
LOC_Os01g01110,0,0,0,0
LOC_Os01g01115,0,0,0,0
LOC_Os01g01120,44,0,61,2
LOC_Os01g01130,50,199,210,323
LOC_Os01g01140,0,0,0,0
LOC_Os01g01150,745,858,745.001,1043
LOC_Os01g01160,220,88,493,371
LOC_Os01g01170,0,0,33,0
LOC_Os01g01180,0,0,0,0
LOC_Os01g01190,0,0,0,0
LOC_Os01g01200,0,0,0,0
LOC_Os01g01210,0,0,0,0
LOC_Os01g01230,0,0,0,0
LOC_Os01g01240,0,0,0,0
LOC_Os01g01250,0,0,0,0
LOC_Os01g01260,0,0,0,0
LOC_Os01g01270,0,0,0,0
LOC_Os01g01280,70,37,104,73
LOC_Os01g01290,0,0,0,0
LOC_Os01g01295,116,175,107,145
LOC_Os01g01302,138,106,47,63
LOC_Os01g01307,1163,459,490,394
LOC_Os01g01312,124,114,0,24
LOC_Os01g01320,0,0,0,0
LOC_Os01g01330,0,0,0,0
LOC_Os01g01340,642,448.008,545.088,333
LOC_Os01g01350,43,0,0,0
LOC_Os01g01360,19,2,5,0
LOC_Os01g01369,149,270,333,222
LOC_Os01g01380,58.995,1,11,31
LOC_Os01g01390,180,296,263,123
LOC_Os01g01400,0,0,0,0
LOC_Os01g01410,293,179,260,473
LOC_Os01g01420,1211.26,1281.572,1436.962,1387.871
LOC_Os01g01430,0,0,0,0
LOC_Os01g01440,0,0,0,0
LOC_Os01g01450,23971,23618,20870,24856
LOC_Os01g01460,0,0,0,0
LOC_Os01g01470,0,0,0,0
LOC_Os01g01484,424,541,758,307
LOC_Os01g01500,0,0,0,0
LOC_Os01g01510,230,144,183,41
LOC_Os01g01520,58,93,74,0
LOC_Os01g01530,0,0,0,0
LOC_Os01g01540,0,0,0,0
LOC_Os01g01550,0,0,0,0
LOC_Os01g01560,0,0,0,0
LOC_Os01g01570,245,198,323,86
LOC_Os01g01580,62,0,49,23
LOC_Os01g01590,0,0,0,0
LOC_Os01g01600,0,0,0,0
LOC_Os01g01610,11,49,101,0
LOC_Os01g01620,175,154,198,371
LOC_Os01g01640,574,771,852,741
LOC_Os01g01650,0,0,0,0
LOC_Os01g01660,0,63,53,0
LOC_Os01g01670,419,629,506,605
LOC_Os01g01680,355,481,345,423
LOC_Os01g01689,253,255,356,84
LOC_Os01g01700,1088,1047,745,1130
LOC_Os01g01710,443,739,765,916
LOC_Os01g01720,85,124,37,49
LOC_Os01g01730,0,0,0,0
LOC_Os01g01740,13,48,52,2
LOC_Os01g01760,0,2,0,4
LOC_Os01g01770,0,21,1,0
LOC_Os01g01780,2,101,6,56
LOC_Os01g01790,1073,975,581,1153
LOC_Os01g01800,338,312,336,394
LOC_Os01g01810,0,0,0,0
LOC_Os01g01830,69,65,53,1
LOC_Os01g01840,0,0,0,0
LOC_Os01g01850,0,0,0,0
LOC_Os01g01860,0,0,0,0
LOC_Os01g01870,180,165,253,55
LOC_Os01g01880,0,0,0,0
LOC_Os01g01890,0,0,3,0
LOC_Os01g01900,0,0,0,0
LOC_Os01g01910,0,0,0,0
LOC_Os01g01920,92,90,2,61
LOC_Os01g01925,0,0,0,0
LOC_Os01g01930,0,0,0,0
LOC_Os01g01940,0,0,0,0
LOC_Os01g01950,0,0,0,0
LOC_Os01g01960,1391,1228,1198,1328
LOC_Os01g01970,314,96,93,370
LOC_Os01g01980,0,0,0,0
LOC_Os01g01990,0,0,0,0
LOC_Os01g02000,190,236,135,331
LOC_Os01g02010,24,1,1,0
LOC_Os01g02020,308,112,155,385
LOC_Os01g02040,156,115,127,19
LOC_Os01g02050,0,0,0,0
LOC_Os01g02060,0,0,64,0
LOC_Os01g02070,0,0,0,0
LOC_Os01g02080,24,0,11,74
LOC_Os01g02090,710,502,520,297
LOC_Os01g02100,14,60,115,169
LOC_Os01g02110,0,0,0,0
LOC_Os01g02120,0,0,0,0
LOC_Os01g02130,0,0,0,0
LOC_Os01g02139,276,156,451,204
LOC_Os01g02150,2984,3018,2612,3252
LOC_Os01g02160,0,0,0,0
LOC_Os01g02170,104,9,80,103
LOC_Os01g02180,137.003,159.985,106.003,111.986
LOC_Os01g02190,0,0,0,0
LOC_Os01g02200,1386,874,1017,1697
LOC_Os01g02210,0,0,0,0
LOC_Os01g02220,0,0,0,0
LOC_Os01g02230,0,0,0,0
LOC_Os01g02240,0,0,0,0
LOC_Os01g02250,0,0,0,0
LOC_Os01g02260,0,0,0,0
LOC_Os01g02270,0,0,89,0
LOC_Os01g02280,0,0,0,0
LOC_Os01g02290,0,0,0,29
LOC_Os01g02300,0,0,0,0
LOC_Os01g02310,0,0,0,0
LOC_Os01g02320,52,80,86,1
LOC_Os01g02334,0,0,0,7
LOC_Os01g02350,11,4,2,0
LOC_Os01g02360,0,0,0,0
LOC_Os01g02370,92,25,3,151
LOC_Os01g02380,0,9.403,0,0
LOC_Os01g02390,1,111,54,0
LOC_Os01g02400,176,12,119,271
LOC_Os01g02410,0,0,0,0
LOC_Os01g02420,0,5,0,0
LOC_Os01g02430,0,0,0,0
LOC_Os01g02440,0,0,0,0
LOC_Os01g02450,0,0,0,0
LOC_Os01g02460,0,0,0,0
LOC_Os01g02470,0,0,0,0
LOC_Os01g02480,0,0,0,0
LOC_Os01g02490,0,0,24,0
LOC_Os01g02500,0,0,0,0
LOC_Os01g02510,0,7.881,0,0
LOC_Os01g02520,0,0,0,0
LOC_Os01g02530,0,0,0,0
LOC_Os01g02540,0,0,0,0
LOC_Os01g02550,0,0,0,0
LOC_Os01g02560,0,0,0,0
LOC_Os01g02570,0,0,0,0
LOC_Os01g02580,0,0,0,0
LOC_Os01g02590,0,0,0,0
LOC_Os01g02600,10,0,0,0
LOC_Os01g02610,7,0,0,0
LOC_Os01g02629,0,0,0,0
LOC_Os01g02650,0,0,0,0
LOC_Os01g02660,0,0,0,0
LOC_Os01g02670,0,0,0,0
LOC_Os01g02680,0,0,0,0
LOC_Os01g02690,0,0,0,0
LOC_Os01g02700,0,0,0,0
LOC_Os01g02710,0,0,0,0
LOC_Os01g02720,166,227,383,132
LOC_Os01g02730,2,0,0,0
LOC_Os01g02740,0,0,0,0
LOC_Os01g02750,1,0,0,0
LOC_Os01g02760,0,0,0,0
LOC_Os01g02770,0,0,0,0
LOC_Os01g02780,0,0,0,0
LOC_Os01g02790,0,0,0,0
LOC_Os01g02800,0,0,0,0
LOC_Os01g02810,0,0,0,0
LOC_Os01g02830,0,0,0,0
LOC_Os01g02840,0,0,0,0
LOC_Os01g02850,0,0,0,0
LOC_Os01g02860,0,0,0,0
LOC_Os01g02870,1,29,0,0
LOC_Os01g02880,404,525,428,773
LOC_Os01g02884,495,359,508,369
LOC_Os01g02890,0,0,49,0
LOC_Os01g02900,46,33,64,2
LOC_Os01g02910,0,0,0,0
LOC_Os01g02920,26,52,0,0
LOC_Os01g02930,0,0,0,0
LOC_Os01g02940,118,9,5,168
LOC_Os01g02950,0,0,0,0
LOC_Os01g02960,315,337,346,332
LOC_Os01g02970,0,0,0,0
LOC_Os01g02980,0,0,0,0
LOC_Os01g02990,0,0,0,0
LOC_Os01g03010,0,0,0,0
LOC_Os01g03020,1035,1247,666,970
LOC_Os01g03030,228,265,136,160
LOC_Os01g03040,300,547,369,198
LOC_Os01g03050,115,38,262,109
LOC_Os01g03060,472,463,603,660
LOC_Os01g03070,2689,3159,2697,3432
LOC_Os01g03080,0,0,0,0
LOC_Os01g03090,193,203,367,71
LOC_Os01g03100,793,831,916,1137
LOC_Os01g03110,201,239,45,121
LOC_Os01g03130,0,0,0,0
LOC_Os01g03144,299,263,266,156
LOC_Os01g03160,168,72,27,137
LOC_Os01g03170,0,0,0,0
LOC_Os01g03180,63,40,0,0
LOC_Os01g03190,0,0,0,0
LOC_Os01g03200,0,0,0,0
LOC_Os01g03210,0,0,0,0
LOC_Os01g03220,0,0,0,0
LOC_Os01g03230,0,0,0,0
LOC_Os01g03240,0,7,0,0
LOC_Os01g03250,0,0,0,0
LOC_Os01g03260,0,0,0,0
LOC_Os01g03270,0,0,0,0
LOC_Os01g03280,0,0,0,0
LOC_Os01g03290,0,0,0,0
LOC_Os01g03300,0,0,0,0
LOC_Os01g03310,0,0,34,0
LOC_Os01g03320,0,0,0,0
LOC_Os01g03330,0,0,0,0
LOC_Os01g03340,0,0,0,0
LOC_Os01g03350,0,0,0,0
LOC_Os01g03360,0,0,0,0
LOC_Os01g03370,0,0,0,0
LOC_Os01g03380,0,0,0,0
LOC_Os01g03390,0,0,0,0
LOC_Os01g03400,0,0,0,0
LOC_Os01g03410,0,0,0,0
LOC_Os01g03420,0,0,0,0
LOC_Os01g03429,0,0,0,0
LOC_Os01g03440,0,0,0,0
LOC_Os01g03452,0,0,0,0
LOC_Os01g03464,0,0,0,0
LOC_Os01g03480,0,0,0,0
LOC_Os01g03490,0,0,0,0
LOC_Os01g03500,67,36,115,203
LOC_Os01g03510,484,243,190,208
LOC_Os01g03520,417,785,482,589
LOC_Os01g03530,0,0,0,0
LOC_Os01g03549,587,544,423,388
LOC_Os01g03570,1598,1124,1655,1480
LOC_Os01g03580,0,0,0,0
LOC_Os01g03590,0,0,0,0
LOC_Os01g03600,0,0,0,0
LOC_Os01g03610,0,0,0,0
LOC_Os01g03620,0,0,0,0
LOC_Os01g03630,0,0,0,0
LOC_Os01g03640,0,0,0,0
LOC_Os01g03650,255,190,95,191
LOC_Os01g03660,0,0,0,0
LOC_Os01g03670,0,0,0,0
LOC_Os01g03680,0,0,0,0
LOC_Os01g03690,58,4,0,82
LOC_Os01g03710,5,0,0,0
LOC_Os01g03720,0,0,0,0
LOC_Os01g03730,0,0,0,0
LOC_Os01g03740,35,0,0,103
LOC_Os01g03750,156,64,0,151
LOC_Os01g03760,376,220,353,898
LOC_Os01g03770,0,0,0,0
LOC_Os01g03780,0,0,0,0
LOC_Os01g03790,0,0,0,0
LOC_Os01g03800,0,0,0,0
LOC_Os01g03810,152.793,81.356,0,2
LOC_Os01g03820,232.207,146.644,113,97
LOC_Os01g03830,0,0,0,0
LOC_Os01g03840,0,0,0,0
LOC_Os01g03860,0,0,0,0
LOC_Os01g03870,0,0,0,0
LOC_Os01g03880,0,0,0,0
LOC_Os01g03890,0,0,0,0
LOC_Os01g03900,0,0,0,0
LOC_Os01g03914,523,337,327,369
LOC_Os01g03930,0,0,0,0
LOC_Os01g03940,274,214,317,270
LOC_Os01g03950,0,0,0,0
LOC_Os01g03960,0,0,0,0
LOC_Os01g03970,0,0,0,0
LOC_Os01g03980,19,47,154,0
LOC_Os01g03989,0,0,0,0
LOC_Os01g04000,0,0,0,0
LOC_Os01g04005,0,0,0,0
LOC_Os01g04010,20,2,0,3
LOC_Os01g04020,3064,2577,2729,3691
LOC_Os01g04030,95,27,42,118
LOC_Os01g04040,0,0,0,0
LOC_Os01g04050,393,452,426,221
LOC_Os01g04070,0,0,0,0
LOC_Os01g04080,0,0,0,0
LOC_Os01g04090,0,0,0,0
LOC_Os01g04100,112,201,0,0
LOC_Os01g04110,46,159,48.001,302
LOC_Os01g04120,0,0,0,0
LOC_Os01g04130,0,0,0,0
LOC_Os01g04140,0,0,0,0
LOC_Os01g04150,0,0,0,0
LOC_Os01g04160,24,0,0,0
LOC_Os01g04170,0,0,0,0
LOC_Os01g04180,0,0,0,0
LOC_Os01g04190,217,157,215,329
LOC_Os01g04200,147,122,185,395
LOC_Os01g04210,0,0,0,0
LOC_Os01g04220,0,0,0,0
LOC_Os01g04230,0,0,0,0
LOC_Os01g04250,0,0,0,0
LOC_Os01g04260,355,453,166,79
LOC_Os01g04270,0,0,0,0
LOC_Os01g04280,38,51,17,0
LOC_Os01g04290,0,0,0,0
LOC_Os01g04300,15,0,0,0
LOC_Os01g04310,0,0,0,0
LOC_Os01g04320,0,0,0,0
LOC_Os01g04324,0,0,0,0
LOC_Os01g04330,99,31,19,53
LOC_Os01g04340,0,0,0,0
LOC_Os01g04350,391,240,371,510
LOC_Os01g04360,0,0,0,0
LOC_Os01g04370,0,29,14,0
LOC_Os01g04380,23,26,137,102
LOC_Os01g04390,8,0,0,0
LOC_Os01g04409,51,172,21,87
LOC_Os01g04430,0,0,0,0
LOC_Os01g04440,0,0,0,0
LOC_Os01g04450,0,0,0,0
LOC_Os01g04460,0,0,0,0
LOC_Os01g04470,0,0,0,0
LOC_Os01g04480,0,0,0,0
LOC_Os01g04490,0,0,0,0
LOC_Os01g04500,68,0,0,0
LOC_Os01g04510,0,0,0,0
LOC_Os01g04520,0,0,0,0
LOC_Os01g04530,0,0,0,0
LOC_Os01g04540,483.847,249.027,323.057,288.624
LOC_Os01g04550,0,0,0,0
LOC_Os01g04560,0,0,0,0
LOC_Os01g04570,0,0,0,0
LOC_Os01g04580,0,0,0,0
LOC_Os01g04590,0,0,0,0
LOC_Os01g04600,85,47,79,0
LOC_Os01g04610,0,0,0,0
LOC_Os01g04620,0,0,0,0
LOC_Os01g04630,196,153,54,266
LOC_Os01g04640,967,1454,841,1261
LOC_Os01g04650,471,341,338,438
LOC_Os01g04660,0,0,0,0
LOC_Os01g04670,520,417,384,565
LOC_Os01g04680,0,0,0,0
LOC_Os01g04690,0,0,0,0
LOC_Os01g04699,0,0,0,0
LOC_Os01g04710,0,53,74,0
LOC_Os01g04720,37,56,70,0
LOC_Os01g04730,15,0,0,18
LOC_Os01g04740,0,0,0,0
LOC_Os01g04750,0,0,0,0
LOC_Os01g04760,0,0,0,0
LOC_Os01g04770,0,0,0,0
LOC_Os01g04780,0,0,0,0
LOC_Os01g04790,0,0,0,0
LOC_Os01g04800,0,0,7,0
LOC_Os01g04814,702,832,902,1169
LOC_Os01g04830,0,0,0,0
LOC_Os01g04840,0,0,0,0
LOC_Os01g04850,0,0,0,0
LOC_Os01g04860,3,58,7,93
LOC_Os01g04870,153,178,165,156
LOC_Os01g04880,130,69,170.777,57
LOC_Os01g04900,192,96,49.223,35
LOC_Os01g04910,3,130,57,0
LOC_Os01g04920,967,1800,905,1374
LOC_Os01g04930,1348,1810,1840,1471
LOC_Os01g04950,566,318,458,707.008
LOC_Os01g04960,0,0,0,0
LOC_Os01g04970,0,0,0,0
LOC_Os01g04980,0,0,0,0
LOC_Os01g04990,73,67,243,147
LOC_Os01g05000,0,0,0,0
LOC_Os01g05010,99,137,63,92
LOC_Os01g05020,0,0,0,0
LOC_Os01g05030,0,0,0,0
LOC_Os01g05040,0,0,0,0
LOC_Os01g05050,0,0,0,0
LOC_Os01g05060,0,0,0,0
LOC_Os01g05064,0,15,0,0
LOC_Os01g05070,127,93,215,132
LOC_Os01g05080,13,0,0,0
LOC_Os01g05090,201.926,45.567,119.588,331.591
LOC_Os01g05100,0,0,0,0
LOC_Os01g05105,0,0,0,0
LOC_Os01g05120,0,0,0,0
LOC_Os01g05130,222,109,163,206
LOC_Os01g05140,32,3,141,267
LOC_Os01g05150,826,469,636,850
LOC_Os01g05160,0,0,0,0
LOC_Os01g05170,0,0,0,0
LOC_Os01g05180,0,0,0,0
LOC_Os01g05200,0,0,0,0
LOC_Os01g05210,0,0,0,0
LOC_Os01g05220,0,0,0,0
LOC_Os01g05240,0,0,0,0
LOC_Os01g05250,0,0,0,0
LOC_Os01g05260,0,0,0,0
LOC_Os01g05280,0,0,0,0
LOC_Os01g05289,0,0,0,0
LOC_Os01g05300,0,0,0,0
LOC_Os01g05310,0,0,0,0
LOC_Os01g05320,0,0,0,0
LOC_Os01g05330,0,0,0,0
LOC_Os01g05340,0,0,0,0
LOC_Os01g05350,0,0,0,0
LOC_Os01g05360,0,15,29,2
LOC_Os01g05370,0,0,0,0
LOC_Os01g05380,0,0,0,0
LOC_Os01g05390,0,0,0,0
LOC_Os01g05400,0,0,0,0
LOC_Os01g05410,0,0,0,0
LOC_Os01g05420,1303,1856,1223,1878
LOC_Os01g05430,131,0,87,85
LOC_Os01g05440,0,0,0,0
LOC_Os01g05450,0,0,0,0
LOC_Os01g05460,0,0,0,0
LOC_Os01g05470,145,340,167,159
LOC_Os01g05480,0,0,0,0
LOC_Os01g05490,4693,4348,3487,5777
LOC_Os01g05500,411,550,387,438
LOC_Os01g05510,0,0,0,0
LOC_Os01g05520,0,0,0,0
LOC_Os01g05530,0,0,0,0
LOC_Os01g05540,171,192,57,144
LOC_Os01g05550,0,0,0,0
LOC_Os01g05560,339,381,305,382
LOC_Os01g05570,0,0,0,0
LOC_Os01g05580,0,0,0,0
LOC_Os01g05585,0,0,0,0
LOC_Os01g05590,0,0,0,0
LOC_Os01g05600,0,0,0,0
LOC_Os01g05610,1468.42,1418.899,1266.47,1402.907
LOC_Os01g05620,0,0,0,0
LOC_Os01g05630,113.823,271.697,333.634,440.871
LOC_Os01g05640,1,0,0,0
LOC_Os01g05650,52099,54283,40838,78114
LOC_Os01g05660,148,174,107,214
LOC_Os01g05670,1263,988,1028,836
LOC_Os01g05680,0,0,0,0
LOC_Os01g05694,0,0,0,0
LOC_Os01g05710,0,0,0,0
LOC_Os01g05720,0,0,0,0
LOC_Os01g05730,0,0,0,0
LOC_Os01g05744,0,1,0,0
LOC_Os01g05760,0,0,0,0
LOC_Os01g05770,0,0,0,0
LOC_Os01g05780,0,0,0,0
LOC_Os01g05790,138,154,273,155
LOC_Os01g05800,473,796,824,353
LOC_Os01g05810,108,67,59,136
LOC_Os01g05820,0,0,1,0
LOC_Os01g05830,100,64,295,3
LOC_Os01g05840,111,31,120,143
LOC_Os01g05850,0,0,0,0
LOC_Os01g05860,0,0,0,0
LOC_Os01g05870,0,0,0,0
LOC_Os01g05880,0,0,0,0
LOC_Os01g05890,0,0,0,0
LOC_Os01g05900,2318.588,2694.293,2271.894,2966.379
LOC_Os01g05940,0,0,0,0
LOC_Os01g05960,0,0,0,0
LOC_Os01g05970,606.956,422.895,590.541,720.16
LOC_Os01g05980,0,0,0,0
LOC_Os01g06000,17,0,0,0
LOC_Os01g06010,1694.635,2021.674,1887.741,2744.684
LOC_Os01g06020,126,16,128,102
LOC_Os01g06030,0,0,0,0
LOC_Os01g06040,0,0,0,0
LOC_Os01g06050,11,17,0,6
LOC_Os01g06060,0,0,0,0
LOC_Os01g06070,0,0,0,0
LOC_Os01g06080,0,0,0,0
LOC_Os01g06090,0,0,0,0
LOC_Os01g06100,0,0,0,0
LOC_Os01g06110,0,0,0,0
LOC_Os01g06120,0,0,0,0
LOC_Os01g06130,0,0,0,0
LOC_Os01g06140,0,0,0,0
LOC_Os01g06150,0,0,0,0
LOC_Os01g06160,0,0,0,0
LOC_Os01g06170,0,0,0,0
